word,frequency
adventureworks,33
road,2
bike,26
handles,2
like,2
dream,1
long,1
rides,4
just,3
tried,2
new,7
helmet,3
lightweight,2
super,1
comfortable,1
loving,1
suspension,4
my,14
mountain,1
worth,1
price,3
hybrid,2
perfect,3
city,2
travel,1
smooth,4
sturdy,3
great,11
quality,6
some,1
accessories,1
feel,1
bit,2
overpriced,1
lights,1
bright,1
easy,5
install,1
highly,1
recommend,1
fit,1
pro,1
snug,1
safe,2
910,1
love,5
grip,2
pedals,1
excellent,1
traction,1
even,4
rain,2
got,2
fitness,1
sleek,2
efficient,1
delivery,2
delayed,1
two,1
days,2
condition,1
noticed,1
tires,2
wear,1
faster,1
than,1
expected,1
assembled,1
trail,3
instructions,1
ride,5
took,4
mtb,1
rocky,1
no,4
issues,1
all,5
amazing,1
build,1
wish,3
more,7
womenspecific,1
models,1
overall,3
good,3
selection,1
should,1
offer,1
express,1
shipping,1
options,4
standard,1
too,2
slow,1
smart,2
odometer,1
connects,1
well,3
phone,1
app,4
frame,4
carbon,1
feels,1
solid,3
responsive,3
nice,1
job,2
aw,11
adjustable,1
seat,1
post,1
urban,2
series,1
handlebar,1
grips,3
ergonomic,1
otherwise,1
finally,3
commuter,1
under,1
500,1
thanks,3
gears,3
shift,1
smoothly,1
tour,1
engineering,1
impressed,2
how,1
fast,2
arrived,1
3,2
order,1
doorstep,1
bikes,6
decent,1
could,3
better,2
rough,1
terrain,2
installed,2
lock,2
buggy,1
hardware,1
rode,2
50km,1
soreness,1
regrets,1
appreciate,1
beginnerfriendly,1
guide,1
came,1
touch,1
value,2
package,2
bundle,1
box,1
slightly,2
damaged,1
during,3
inside,1
untouched,1
water,1
bottle,1
holder,1
stylish,1
weekend,3
now,2
fun,1
cruiser,1
design,1
minimalistic,1
looking,1
color,1
helmets,2
needed,1
help,1
gear,2
adjustment,1
support,3
helpful,1
fork,1
survived,1
downhill,1
madness,1
foam,1
handle,1
comfy,1
2hour,1
rear,1
brake,2
misaligned,1
fix,1
gravel,1
mixed,1
way,1
tracking,1
system,1
accurate,1
get,1
reliable,1
durable,1
whole,1
family,2
owns,1
assembly,2
me,2
15,1
hours,2
parts,1
labeled,1
found,2
fits,1
xl,1
would,1
custom,1
paint,1
gps,2
tracker,1
works,1
advertised,1
packaging,1
secure,1
included,1
extra,1
padding,1
around,2
bought,2
daughter,1
loves,2
honestly,1
havent,1
single,1
issue,2
months,1
checked,1
welds,2
finishes,1
high,1
120km,1
trip,1
performed,1
flawlessly,1
tech,1
responded,1
24,1
solved,1
sync,1
saddle,1
softer,1
3rd,1
keep,1
getting,1
pads,1
strong,1
steep,1
declines,1
matte,1
black,1
finish,1
everything,1
screams,1
usability,1
cargo,1
weight,1
champ,1
deal,1
steal,1
4,1
us,1
firsttime,1
buyer,1
here,1
setup,1
front,1
disc,1
brakes,1
stopping,1
power,1
slips,1
folding,1
budgetfriendly,1
compact,1
vintagestyle,1
pannier,1
bags,1
mount,1
before,1
remains,1
topnotch,1
chain,1
slipped,1
once,1
mechanics,1
worked,1
goto,1
campus,1
postsale,1
service,1
fantastic,1
very,1
teen,1
absolutely,1
looks,1
cool,1
kids,1
real,1
among,1
midrange,1
brands,1
stands,1
out,1
prices,1
held,1
steady,1
year,1
appreciated,1
inflation,1
clean,1
cable,1
routing,1
surprisingly,1
premium,1
features,1
impressive,1
point,1
proud,1
local,1
global,1
